"State","Speed","Gender","Age"
"California",0,"Male",29
"Oregon",0,"Male",55
"Maryland",0,"Male",33
"North Carolina",65,"Male",49
"Virginia",0,"Female",23
"Colorado",75,"Male",38
"California",0,"Female",37
"New Jersey",0,"Male",16
"Missouri",45,"Female",52
"Alabama",45,"Male",9
"Missouri",48,"Male",67
"Kentucky",64,"Male",24
"Florida",65,"Male",36
"Virginia",35,"Female",32
"Florida",40,"Male",19
"Alabama",45,"Male",65
"Texas",0,"Female",63
"Wisconsin",0,"Male",24
"Pennsylvania",45,"Male",52
"Virginia",70,"Male",27
"Florida",0,"Female",25
"California",55,"Male",48
"North Carolina",0,"Female",75
"New York",40,"Male",28
"North Carolina",15,"Male",61
"Louisiana",70,"Male",44
"North Carolina",5,"Female",66
"Ohio",70,"Male",1
"North Carolina",10,"Female",53
"Nevada",10,"Female",46
"Florida",45,"Male",25
"Florida",25,"Female",43
"Colorado",75,"Male",26
"Arizona",65,"Female",24
"Arizona",48,"Female",47
"North Carolina",0,"Male",56
"South Carolina",50,"Male",53
"Colorado",40,"Female",24
"Wyoming",80,"Female",5
"Louisiana",70,"Male",26
"North Carolina",30,"Male",78
"North Carolina",70,"Male",13
"Wisconsin",75,"Female",34
"Florida",45,"Female",41
"Florida",51,"Male",76
"Florida",50,"Male",15
"Wyoming",65,"Male",23
"South Carolina",55,"Male",18
"Colorado",0,"Female",23
"Arizona",42,"Male",28
"Indiana",0,"Male",47
"Wisconsin",65,"Male",56
"Ohio",0,"Male",26
"Washington",0,"Male",70
"Pennsylvania",49,"Male",32
"Kentucky",65,"Male",35
"Florida",85,"Male",26
"Florida",55,"Male",37
"Virginia",55,"Male",68
"Alabama",55,"Female",32
"Florida",30,"Male",34
"Wyoming",50,"Female",27
"Wisconsin",70,"Male",19
"Florida",15,"Male",36
"South Carolina",40,"Male",32
"North Carolina",55,"Male",67
"North Carolina",20,"Male",18
"Florida",50,"Male",66
"Florida",50,"Female",83
"Pennsylvania",85,"Female",15
"New York",35,"Female",94
"Ohio",45,"Male",58
"Missouri",55,"Female",13
"Florida",50,"Female",63
"Alabama",40,"Female",73
"South Carolina",75,"Male",27
"Washington",0,"Male",4
"South Carolina",25,"Male",49
"North Carolina",65,"Female",42
"Ohio",30,"Male",53
"Utah",75,"Male",25
"Arizona",65,"Female",29
"Virginia",80,"Male",25
"Mississippi",35,"Female",10
"Florida",5,"Female",74
"New York",0,"Female",80
"Virginia",45,"Male",73
"California",68,"Female",20
"Michigan",0,"Female",53
"Ohio",55,"Female",41
"Mississippi",65,"Male",44
"Arizona",12,"Female",16
"South Carolina",55,"Male",72
"Florida",70,"Female",39
"Missouri",0,"Male",65
"California",38,"Female",44
"Florida",0,"Female",64
"Virginia",65,"Female",22
"New Hampshire",42,"Male",87
"Indiana",0,"Male",23
"Missouri",0,"Female",69
"Colorado",65,"Male",46
"Louisiana",55,"Male",50
"Mississippi",50,"Male",13
"California",0,"Female",83
"Colorado",30,"Female",27
"Wisconsin",5,"Male",50
"Wisconsin",70,"Male",51
"Florida",55,"Male",20
"South Carolina",100,"Male",37
"California",0,"Male",55
"Pennsylvania",0,"Male",8
"Texas",0,"Male",81
"Florida",15,"Female",57
"California",75,"Female",58
"North Carolina",0,"Male",38
"Florida",0,"Male",42
"North Carolina",65,"Male",73
"North Carolina",40,"Male",42
"Georgia",0,"Male",68
"Missouri",81,"Male",15
"Florida",55,"Female",71
"Texas",0,"Male",22
"North Carolina",55,"Male",41
"Virginia",55,"Female",53
"Arizona",30,"Male",37
"California",68,"Male",24
"Florida",50,"Male",25
"California",28,"Female",27
"North Carolina",55,"Male",12
"Pennsylvania",40,"Male",53
"Florida",70,"Male",66
"New York",37,"Male",33
"Pennsylvania",50,"Male",66
"Florida",35,"Male",26
"Ohio",45,"Male",49
"Texas",0,"Female",16
"California",45,"Male",44
"North Carolina",45,"Male",25
"Kentucky",30,"Female",81
"Colorado",10,"Male",36
"Colorado",50,"Male",80
"Wisconsin",58,"Male",26
"California",0,"Female",29
"Florida",35,"Male",29
"Missouri",70,"Female",24
"California",70,"Female",41
"Kentucky",33,"Male",41
"Florida",21,"Male",27
"Ohio",30,"Male",54
"Florida",5,"Female",40
"Michigan",0,"Female",8
"Wyoming",65,"Female",58
"Ohio",63,"Male",29
"Florida",1,"Male",37
"Arizona",55,"Male",71
"North Carolina",45,"Female",60
"Louisiana",55,"Male",42
"California",55,"Male",37
"Louisiana",80,"Male",49
"Pennsylvania",45,"Male",56
"North Carolina",90,"Male",31
"Louisiana",75,"Female",17
"Florida",40,"Male",28
"Florida",75,"Male",52
"Virginia",0,"Male",46
"South Carolina",0,"Female",61
"Virginia",75,"Male",28
"Florida",25,"Male",22
"California",68,"Female",26
"Mississippi",50,"Male",48
"Kentucky",55,"Male",43
"Florida",55,"Female",48
"Missouri",72,"Female",3
"New York",0,"Female",56
"California",40,"Female",19
"North Carolina",55,"Male",13
"South Carolina",66,"Female",81
"Massachusetts",0,"Male",42
"Florida",30,"Male",24
"Texas",0,"Male",71
"Florida",70,"Male",38
"Alabama",90,"Male",47
"Hawaii",91,"Male",22
"Florida",20,"Female",50
"Wisconsin",45,"Female",61
"North Carolina",75,"Male",29
"New York",45,"Female",56
"Florida",60,"Female",17
"South Carolina",40,"Female",75
"Colorado",60,"Female",33
"Florida",70,"Male",60
"Florida",0,"Male",58
"South Carolina",55,"Female",48
"North Carolina",30,"Male",23
"Virginia",45,"Male",18
"California",13,"Male",53
"Utah",0,"Male",27
"Florida",35,"Female",19
"California",65,"Female",55
"Wisconsin",65,"Female",42
"Maine",0,"Female",26
"California",65,"Male",70
"Florida",70,"Female",32
"Montana",71,"Female",21
"North Carolina",10,"Female",62
"Ohio",30,"Male",84
"Montana",40,"Female",24
"California",0,"Male",46
"Ohio",35,"Male",68
"Florida",0,"Male",19
"Arizona",40,"Female",50
"Alabama",62,"Male",49
"Texas",0,"Male",34
"North Carolina",70,"Female",1
"Virginia",70,"Male",21
"California",75,"Female",49
"Ohio",55,"Male",70
"Pennsylvania",0,"Male",51
"Louisiana",110,"Male",30
"Florida",5,"Male",55
"Utah",90,"Male",83
"Mississippi",55,"Male",51
"California",45,"Male",51
"North Carolina",70,"Male",54
"New Mexico",0,"Female",32
"Ohio",35,"Male",64
"North Carolina",85,"Male",30
"Arizona",18,"Female",42
"Alabama",5,"Female",65
"Florida",0,"Male",56
"Pennsylvania",2,"Female",65
"Arizona",45,"Male",44
"Wisconsin",50,"Male",35
"New York",38,"Male",23
"South Dakota",5,"Female",38
"Florida",65,"Female",21
"Texas",0,"Male",48
"North Carolina",65,"Male",43
"Arkansas",0,"Male",25
"Louisiana",60,"Male",17
"North Carolina",45,"Female",31
"North Carolina",45,"Male",61
"Arizona",44,"Female",49
"Mississippi",35,"Female",48
"New Mexico",0,"Female",20
"California",50,"Female",72
"North Carolina",40,"Male",69
"Missouri",69,"Male",54
"Wisconsin",55,"Female",41
"Virginia",75,"Male",18
"California",0,"Male",72
"North Carolina",5,"Female",17
"New York",52,"Male",47
"Pennsylvania",60,"Male",25
