"State","Speed","Gender","Age"
"Florida",45,"Female",40
"Kansas",0,"Male",72
"Colorado",50,"Male",62
"Virginia",70,"Male",36
"Florida",50,"Male",22
"Pennsylvania",70,"Female",16
"Florida",0,"Male",17
"North Carolina",70,"Male",21
"Wisconsin",70,"Female",61
"New York",120,"Male",16
"California",40,"Female",29
"Arizona",40,"Male",20
"New York",0,"Female",30
"Louisiana",50,"Male",24
"Utah",75,"Female",7
"South Carolina",50,"Male",55
"Arizona",65,"Male",21
"California",33,"Male",58
"Florida",68,"Male",51
"North Carolina",10,"Female",14
"South Carolina",0,"Male",56
"Virginia",80,"Male",42
"Florida",0,"Male",44
"Illinois",80,"Male",22
"Florida",10,"Male",45
"Florida",25,"Female",60
"Ohio",15,"Female",75
"North Carolina",0,"Male",53
"Illinois",0,"Male",59
"Missouri",0,"Male",50
"Florida",0,"Female",54
"Arizona",65,"Male",69
"Illinois",40,"Male",36
"Minnesota",55,"Male",35
"Arizona",50,"Male",48
"Florida",0,"Female",48
"North Carolina",75,"Female",22
"South Carolina",50,"Female",35
"Florida",30,"Male",60
"Mississippi",55,"Male",58
"Idaho",0,"Female",49
"Ohio",10,"Male",71
"Arizona",50,"Male",23
"North Carolina",45,"Female",27
"Arizona",55,"Male",16
"South Carolina",10,"Female",57
"South Carolina",45,"Female",66
"Florida",25,"Male",23
"Oklahoma",0,"Male",25
"Florida",55,"Male",76
"Florida",45,"Male",43
"Florida",0,"Male",53
"California",45,"Male",19
"North Carolina",108,"Male",28
"Utah",0,"Female",56
"Alabama",55,"Female",30
"Florida",25,"Female",37
"Florida",0,"Male",54
"North Carolina",0,"Female",45
"California",65,"Male",53
"Florida",45,"Male",18
"California",0,"Female",63
"Missouri",31,"Male",18
"Pennsylvania",50,"Male",56
"Florida",60,"Male",33
"Florida",10,"Female",56
"North Carolina",55,"Male",55
"Virginia",70,"Male",33
"Florida",45,"Female",33
"Florida",35,"Male",46
"Ohio",0,"Male",20
"New York",53,"Male",4
"Utah",40,"Male",28
"North Carolina",55,"Male",24
"Kentucky",0,"Male",20
"Pennsylvania",25,"Female",36
"Florida",80,"Male",25
"Wisconsin",75,"Male",16
"Florida",25,"Female",43
"Wisconsin",55,"Male",32
"California",70,"Male",41
"Louisiana",10,"Male",63
"South Dakota",79,"Male",55
"Florida",43,"Male",14
"Texas",0,"Male",68
"Wisconsin",55,"Female",34
"South Carolina",79,"Female",53
"North Carolina",55,"Male",77
"California",65,"Male",56
"North Carolina",55,"Male",20
"North Carolina",65,"Female",44
"Virginia",10,"Male",89
"Nevada",34,"Male",17
"Utah",35,"Female",34
"Florida",35,"Male",21
"Alabama",45,"Male",48
"Virginia",49,"Male",4
"Georgia",0,"Female",40
"Arizona",30,"Male",39
"Virginia",60,"Female",51
"Louisiana",0,"Male",31
"Minnesota",40,"Male",24
"Louisiana",0,"Male",26
"Florida",5,"Male",23
"Florida",5,"Male",54
"Florida",10,"Male",57
"South Carolina",55,"Female",48
"North Carolina",35,"Female",7
"Missouri",0,"Male",88
"Florida",70,"Female",25
"California",50,"Female",53
"Pennsylvania",0,"Female",39
"Florida",70,"Male",25
"North Carolina",55,"Male",23
"Georgia",0,"Female",66
"Nevada",85,"Male",20
"Alabama",15,"Female",20
"Florida",0,"Male",73
"California",0,"Female",74
"California",0,"Male",48
"Florida",10,"Female",68
"California",45,"Male",56
"Missouri",72,"Female",51
"Pennsylvania",35,"Male",44
"Florida",5,"Male",21
"Florida",30,"Male",28
"Colorado",50,"Male",44
"Arizona",65,"Female",64
"Colorado",80,"Male",24
"California",45,"Female",47
"Florida",55,"Male",58
"California",43,"Male",52
"New York",0,"Male",77
"Minnesota",60,"Female",50
"Florida",63,"Male",27
"North Carolina",45,"Male",58
"California",63,"Male",21
"Arizona",65,"Male",22
"Florida",0,"Male",62
"North Carolina",45,"Male",39
"North Carolina",0,"Female",19
"Florida",70,"Female",42
"Nevada",45,"Female",24
"Ohio",60,"Male",27
"Florida",45,"Male",72
"North Carolina",55,"Male",19
"Virginia",64,"Male",17
"Texas",73,"Male",26
"Louisiana",5,"Male",22
"Arizona",65,"Male",3
"Virginia",60,"Male",67
"Michigan",0,"Female",2
"Florida",40,"Male",9
"California",0,"Male",52
"South Carolina",45,"Male",36
"Ohio",5,"Male",72
"South Carolina",1,"Male",63
"Missouri",0,"Male",40
"New Jersey",0,"Female",38
"Nevada",69,"Male",53
"Minnesota",55,"Male",41
"North Carolina",45,"Male",38
"Louisiana",91,"Male",22
"Colorado",35,"Female",56
"North Carolina",93,"Female",17
"California",55,"Male",18
"Florida",60,"Female",18
"Ohio",45,"Male",31
"Utah",35,"Female",26
"Florida",70,"Male",23
"Florida",0,"Male",19
"Arizona",86,"Male",40
"Florida",30,"Male",35
"Pennsylvania",0,"Male",73
"Florida",43,"Male",13
"Michigan",0,"Male",53
"Louisiana",35,"Male",67
"Wyoming",65,"Male",67
"Illinois",0,"Male",80
"Arizona",0,"Male",45
"Pennsylvania",5,"Female",81
"Utah",0,"Male",27
"Texas",50,"Male",22
"Texas",0,"Female",51
"South Dakota",53,"Male",18
"California",65,"Male",20
"Ohio",55,"Male",29
"Pennsylvania",0,"Male",53
"Ohio",70,"Female",1
"Alabama",65,"Male",18
"Arizona",35,"Male",28
"Florida",10,"Male",52
"Arizona",0,"Female",69
"Colorado",35,"Male",24
"Colorado",90,"Female",21
"California",70,"Male",30
"Kansas",30,"Male",69
"Pennsylvania",35,"Female",18
"Florida",40,"Female",82
"West Virginia",0,"Male",21
"Pennsylvania",65,"Male",4
"Louisiana",65,"Male",88
"Nevada",41,"Male",22
"Ohio",20,"Female",44
"Colorado",10,"Female",96
"Ohio",65,"Male",46
"Pennsylvania",5,"Male",53
"Florida",15,"Male",27
"Virginia",70,"Female",71
"Illinois",77,"Female",33
"Florida",55,"Female",60
"Virginia",40,"Male",54
"Florida",5,"Male",54
"South Carolina",40,"Male",43
"North Carolina",55,"Male",79
"California",68,"Male",35
"Alabama",55,"Male",18
"Ohio",0,"Male",46
"Virginia",50,"Female",3
"Colorado",40,"Male",58
"North Carolina",60,"Male",43
"Colorado",35,"Female",45
"Florida",30,"Male",65
"Florida",35,"Female",83
"California",65,"Female",45
"Florida",45,"Female",63
"Arizona",30,"Male",34
"Ohio",0,"Male",54
"Florida",40,"Female",53
"Kentucky",50,"Male",57
"Texas",0,"Female",6
"California",0,"Male",87
"Michigan",0,"Male",28
"California",58,"Male",26
"Arizona",65,"Male",45
"Florida",0,"Female",86
"Florida",55,"Male",44
"Georgia",0,"Female",50
"Missouri",69,"Male",22
"California",0,"Male",55
"California",0,"Female",56
"Texas",0,"Male",47
"South Carolina",50,"Female",78
"South Carolina",25,"Male",9
"Florida",45,"Male",35
"Florida",40,"Male",55
"South Carolina",60,"Male",27
"South Carolina",20,"Male",19
"Florida",12,"Male",26
"California",0,"Male",16
"California",35,"Male",8
"Ohio",35,"Male",34
"Utah",70,"Female",37
"Virginia",70,"Male",63
"Missouri",50,"Male",55
"North Carolina",55,"Male",22
"Missouri",90,"Female",16
"Kentucky",56,"Male",30
"California",35,"Male",26
"Arizona",15,"Female",55
"Louisiana",70,"Male",39
"Illinois",84,"Male",31
"South Carolina",18,"Male",51
"California",65,"Male",43
"Georgia",0,"Male",28
"Louisiana",55,"Male",20
"Virginia",55,"Female",61
"Minnesota",55,"Male",44
"North Carolina",55,"Male",47
"Florida",25,"Male",93
"Kansas",54,"Female",38
"Wisconsin",55,"Male",27
"Oklahoma",0,"Male",5
"South Carolina",65,"Male",44
"Florida",15,"Female",23
"Oklahoma",0,"Male",20
"Louisiana",71,"Female",20
"South Carolina",0,"Male",82
"Virginia",62,"Male",34
"Virginia",55,"Female",13
"Texas",0,"Male",51
"Ohio",40,"Female",58
"Alabama",50,"Male",49
"Ohio",0,"Female",30
"Florida",55,"Male",46
"California",45,"Male",62
"Nevada",68,"Female",20
"Florida",45,"Female",27
"Florida",0,"Female",6
"California",38,"Male",31
"Alabama",35,"Male",66
"Massachusetts",0,"Female",45
"South Carolina",72,"Female",35
"Virginia",50,"Male",25
"California",70,"Male",39
"Florida",45,"Male",41
"Pennsylvania",40,"Female",44
"Kentucky",0,"Male",17
"Colorado",40,"Male",29
"Illinois",0,"Female",72
"South Carolina",46,"Male",15
"New York",41,"Male",26
"North Carolina",80,"Male",31
"Kansas",100,"Male",20
"Florida",35,"Male",62
"Kentucky",0,"Female",6
"Virginia",70,"Male",17
"Ohio",40,"Male",20
"Florida",0,"Male",35
"Florida",30,"Male",36
"Alabama",0,"Male",60
"Ohio",30,"Male",27
"Wyoming",75,"Male",45
"North Carolina",85,"Male",25
"South Carolina",15,"Female",43
"Colorado",60,"Female",22
"Virginia",35,"Female",70
"Wisconsin",55,"Female",11
"North Carolina",45,"Male",57
"North Carolina",25,"Male",21
"Pennsylvania",85,"Male",23
"Colorado",63,"Male",24
"Colorado",45,"Male",28
"North Carolina",55,"Female",114
"Texas",0,"Male",55
"Louisiana",50,"Female",36
"Nevada",35,"Female",39
"Pennsylvania",40,"Male",36
"Alabama",60,"Female",39
"Louisiana",40,"Male",73
"California",30,"Male",35
"Arizona",0,"Male",48
"Florida",99,"Male",28
"Florida",0,"Male",5
"California",55,"Male",11
"New Jersey",0,"Male",78
"Florida",30,"Male",43
"West Virginia",0,"Male",30
"Florida",35,"Male",18
"California",55,"Male",48
"Alabama",55,"Female",58
"North Carolina",35,"Male",12
"Minnesota",60,"Male",53
"California",55,"Male",57
"North Carolina",45,"Female",32
"California",0,"Male",71
"New York",0,"Male",36
"North Carolina",105,"Female",57
"Florida",60,"Male",42
"Mississippi",63,"Female",31
"Ohio",5,"Female",64
"Florida",40,"Male",50
"Maryland",0,"Male",52
"Wisconsin",0,"Female",83
"Wisconsin",45,"Female",65
"Florida",45,"Female",40
"Colorado",60,"Male",42
"Florida",40,"Female",28
"South Carolina",15,"Female",33
"North Carolina",0,"Male",23
"Arizona",64,"Female",51
"California",0,"Female",69
"South Carolina",40,"Male",72
"California",68,"Male",20
"Arizona",40,"Male",23
"Wisconsin",5,"Male",86
"Ohio",0,"Female",57
"Virginia",43,"Male",50
"North Carolina",10,"Male",32
"Louisiana",0,"Female",55
"Florida",15,"Male",51
"North Carolina",55,"Female",24
"North Carolina",55,"Male",59
"Kentucky",55,"Female",13
"New York",0,"Female",43
"Nevada",65,"Male",68
"Maryland",0,"Male",39
"South Carolina",15,"Male",52
"Wisconsin",35,"Male",89
"Georgia",0,"Female",56
"Florida",70,"Male",45
"Massachusetts",0,"Female",32
"Florida",10,"Female",55
"Louisiana",50,"Male",35
"Minnesota",55,"Male",53
"California",0,"Male",21
"South Carolina",50,"Male",41
"Florida",8,"Female",18
"North Carolina",55,"Female",20
"South Carolina",40,"Male",42
"Nevada",60,"Female",24
"Florida",45,"Male",21
"Florida",50,"Male",20
"North Carolina",10,"Female",76
"Florida",20,"Male",25
"Kentucky",68,"Female",22
"North Carolina",70,"Male",51
"Florida",15,"Male",38
"Virginia",80,"Male",19
"Florida",45,"Male",23
"Missouri",0,"Female",21
"Pennsylvania",35,"Female",46
"Arizona",35,"Male",60
"Florida",35,"Male",66
"Mississippi",60,"Male",47
"Florida",60,"Male",22
"Louisiana",70,"Male",10
"Illinois",55,"Female",45
"Florida",70,"Male",38
"Texas",0,"Female",36
"Florida",60,"Male",28
"Arizona",10,"Male",27
"North Carolina",45,"Male",53
"Mississippi",50,"Male",86
"Florida",60,"Male",43
"Mississippi",45,"Female",27
"Florida",0,"Male",46
"Pennsylvania",0,"Male",54
"Vermont",88,"Male",19
"Virginia",40,"Female",28
"California",0,"Male",40
"Wisconsin",106,"Male",34
"Texas",0,"Male",28
"Ohio",106,"Male",17
"California",65,"Male",21
"Florida",25,"Male",26
"Alabama",90,"Male",46
"South Carolina",5,"Male",26
"California",50,"Female",52
"Wisconsin",25,"Female",19
"Ohio",0,"Male",46
"Pennsylvania",35,"Female",18
"North Carolina",100,"Male",22
"Florida",40,"Male",50
"Kentucky",58,"Male",29
"Michigan",0,"Male",74
"Florida",35,"Male",40
"South Carolina",70,"Male",13
"Pennsylvania",45,"Male",53
"Utah",55,"Male",12
"Wisconsin",60,"Male",23
"Wisconsin",35,"Male",2
"California",55,"Female",6
"Florida",40,"Male",67
"Alaska",68,"Male",22
"South Carolina",55,"Male",63
"North Carolina",50,"Male",28
"California",45,"Male",44
"Utah",60,"Male",47
"Florida",50,"Female",55
"Kentucky",0,"Male",47
"North Carolina",70,"Male",56
"Ohio",25,"Male",39
"Texas",0,"Male",2
"South Carolina",30,"Female",4
"North Carolina",35,"Male",57
"Alabama",25,"Male",27
"New York",0,"Female",80
"California",65,"Female",20
"North Carolina",55,"Male",47
"Arizona",0,"Male",64
"Pennsylvania",0,"Male",21
"Texas",0,"Female",28
"Colorado",70,"Female",18
"Arizona",0,"Male",41
"Arizona",60,"Male",33
"California",0,"Male",55
"Ohio",50,"Male",60
"Minnesota",65,"Male",18
"Louisiana",45,"Male",26
"California",5,"Female",10
"Utah",25,"Female",39
"Florida",50,"Male",33
"California",40,"Male",44
"South Carolina",45,"Female",34
"North Carolina",55,"Male",19
"Arizona",70,"Female",9
"Pennsylvania",62,"Male",35
"California",70,"Male",15
"New Jersey",45,"Male",60
"Florida",70,"Male",57
"Colorado",75,"Male",33
"Florida",55,"Female",16
"North Carolina",65,"Female",39
"Missouri",64,"Male",17
"North Carolina",60,"Male",23
"New Jersey",0,"Male",29
"Wyoming",65,"Male",30
"Connecticut",0,"Male",1
"Ohio",45,"Female",33
"Wyoming",65,"Female",31
"Florida",71,"Male",38
"Florida",35,"Male",42
"Florida",55,"Male",43
"Florida",70,"Female",32
"Florida",25,"Male",6
"Alabama",0,"Male",52
"Louisiana",55,"Male",26
"North Carolina",10,"Male",48
"Colorado",30,"Male",21
"Pennsylvania",25,"Female",9
"California",80,"Male",21
"Louisiana",55,"Male",61
"Virginia",45,"Male",71
"California",65,"Female",23
"South Carolina",0,"Female",21
"South Carolina",60,"Male",27
"Florida",45,"Male",27
"New York",0,"Male",33
"Florida",43,"Female",35
"Minnesota",55,"Male",47
"Alabama",40,"Male",10
"Iowa",0,"Male",60
"Florida",20,"Male",19
"North Carolina",65,"Male",36
"California",70,"Male",50
"Florida",10,"Male",80
"Louisiana",0,"Male",66
"Louisiana",65,"Female",66
"California",70,"Male",21
"California",0,"Female",59
"Pennsylvania",70,"Female",7
"Colorado",65,"Female",77
"Florida",55,"Male",30
"Utah",50,"Female",65
"Missouri",39,"Male",56
"Texas",0,"Male",58
"Arizona",60,"Male",19
"Florida",0,"Male",19
"New Jersey",0,"Female",49
"Michigan",0,"Female",31
"California",80,"Female",24
"West Virginia",0,"Male",93
"New York",50,"Male",13
"Oregon",0,"Male",34
"Pennsylvania",45,"Male",30
"Alabama",5,"Male",9
"Louisiana",55,"Male",35
"Colorado",55,"Male",27
"Ohio",45,"Male",42
"Florida",5,"Female",64
"Wyoming",65,"Male",20
"Wisconsin",5,"Male",13
"Kentucky",50,"Male",21
"Mississippi",80,"Female",17
"Kentucky",113,"Female",22
"Florida",0,"Male",60
"Pennsylvania",55,"Male",27
"Florida",70,"Female",28
"South Carolina",50,"Male",53
"California",80,"Male",22
"Utah",75,"Male",14
"Florida",70,"Male",41
"Arizona",0,"Male",64
"Florida",20,"Male",78
"New Jersey",0,"Male",34
"Florida",50,"Male",89
"California",0,"Male",62
"Arizona",22,"Male",19
"South Carolina",45,"Male",26
"North Carolina",5,"Female",84
"North Carolina",45,"Male",88
"Texas",0,"Male",30
"South Carolina",55,"Male",43
"North Carolina",35,"Female",70
"South Carolina",65,"Female",20
"South Carolina",55,"Female",25
"Missouri",28,"Male",66
"Kentucky",65,"Male",20
"Georgia",0,"Female",35
"Tennessee",0,"Male",48
"California",42,"Male",34
"Florida",0,"Female",44
"North Carolina",60,"Male",68
"Dist of Columbia",0,"Male",21
"California",70,"Female",70
"Florida",35,"Male",47
"Florida",45,"Female",40
"North Carolina",65,"Male",33
"Colorado",0,"Female",50
"Texas",96,"Male",17
"Illinois",0,"Female",22
"California",0,"Male",31
"Florida",65,"Male",51
"Georgia",0,"Male",57
"South Carolina",40,"Male",30
"North Carolina",90,"Male",41
"Virginia",75,"Male",27
"North Carolina",65,"Male",19
"South Carolina",45,"Male",22
"North Carolina",57,"Female",25
"California",35,"Male",27
"South Carolina",70,"Male",30
"Illinois",0,"Male",30
"New Jersey",0,"Male",22
"Florida",35,"Male",30
"California",35,"Male",67
"Colorado",65,"Male",82
"California",73,"Male",14
"South Carolina",50,"Male",47
"Ohio",50,"Female",20
"Rhode Island",75,"Male",23
"Missouri",50,"Male",6
"Florida",19,"Male",21
"Delaware",0,"Male",41
"Colorado",30,"Female",46
"South Carolina",45,"Female",54
"Missouri",61,"Male",52
"Pennsylvania",0,"Female",67
"South Carolina",80,"Female",66
"New York",0,"Female",20
"Florida",0,"Male",50
"Michigan",0,"Male",86
"Florida",80,"Female",25
"North Carolina",50,"Female",19
"North Carolina",98,"Male",30
"Florida",112,"Female",21
"California",45,"Female",27
"Alabama",60,"Female",47
"Pennsylvania",25,"Female",38
"Nevada",0,"Female",71
"California",0,"Male",53
"California",0,"Female",67
"Florida",0,"Male",37
"Arizona",20,"Male",50
"Kentucky",0,"Female",57
"Colorado",30,"Female",34
"Colorado",77,"Male",24
"California",60,"Male",26
"Nevada",58,"Male",19
"Tennessee",0,"Male",66
"Colorado",28,"Female",76
"South Carolina",25,"Male",59
"Kentucky",0,"Male",17
"Florida",5,"Male",97
"Nevada",80,"Male",28
"Florida",30,"Male",80
"Ohio",35,"Female",56
"Florida",10,"Male",70
"South Carolina",55,"Male",19
"Florida",0,"Female",42
"Virginia",55,"Male",27
"Louisiana",65,"Male",19
"California",0,"Male",33
"Arizona",50,"Male",17
"Ohio",45,"Male",37
"Tennessee",0,"Male",67
"Wisconsin",0,"Male",93
"California",70,"Male",21
"Ohio",45,"Male",49
"Minnesota",70,"Female",78
"California",38,"Male",12
"Colorado",40,"Female",88
"New York",0,"Female",52
"New York",0,"Female",90
"Kentucky",0,"Male",17
"Florida",50,"Male",6
"North Carolina",0,"Female",46
"California",70,"Female",7
"Pennsylvania",50,"Female",57
"Alabama",45,"Male",19
"Virginia",30,"Male",48
"South Carolina",70,"Male",4
"Colorado",35,"Male",40
"Florida",0,"Male",66
"Ohio",35,"Female",31
"Pennsylvania",40,"Female",54
"California",35,"Male",43
"Florida",40,"Male",63
"Missouri",0,"Female",46
"Pennsylvania",35,"Male",19
"Florida",55,"Male",38
"California",55,"Male",64
"Maine",0,"Male",46
"California",0,"Male",21
"Minnesota",55,"Male",44
"Colorado",60,"Male",47
"North Carolina",35,"Male",24
"South Carolina",62,"Male",36
"California",55,"Female",21
"Texas",0,"Male",22
"Pennsylvania",25,"Female",26
"Pennsylvania",53,"Male",12
"Illinois",80,"Male",28
"North Carolina",50,"Male",74
"South Carolina",55,"Male",46
"Florida",65,"Male",67
"California",70,"Male",35
"Pennsylvania",45,"Male",26
"Florida",0,"Female",69
"Arizona",43,"Male",30
"Pennsylvania",55,"Male",49
"Illinois",78,"Male",72
"Oregon",0,"Male",4
"Delaware",0,"Male",22
"Ohio",20,"Male",38
"Nevada",65,"Male",23
"Georgia",0,"Male",62
"Connecticut",35,"Female",27
"Ohio",0,"Female",41
"Colorado",75,"Male",18
"California",40,"Male",66
"Florida",45,"Female",43
"North Carolina",70,"Male",54
"Texas",0,"Female",50
"Ohio",0,"Male",29
"North Carolina",55,"Male",63
"Alabama",0,"Male",54
"Louisiana",55,"Male",25
"North Carolina",45,"Female",26
"Tennessee",0,"Male",70
"South Carolina",85,"Male",35
"North Carolina",35,"Female",30
"Iowa",0,"Male",23
"Colorado",66,"Female",47
"Florida",40,"Female",60
"Louisiana",65,"Female",12
"Minnesota",60,"Male",37
"Missouri",78,"Male",19
"Florida",40,"Female",42
"Texas",38,"Male",2
"Mississippi",41,"Male",12
"Arizona",34,"Female",14
"New York",70,"Male",27
"South Carolina",104,"Male",17
"South Carolina",45,"Female",23
"Pennsylvania",45,"Male",72
"Louisiana",0,"Male",24
"Missouri",59,"Female",71
"Florida",10,"Female",82
"California",55,"Male",6
"North Carolina",40,"Male",64
"Florida",75,"Female",47
"Minnesota",12,"Female",31
"Florida",43,"Male",13
"South Carolina",30,"Female",17
"Alabama",65,"Male",47
"Oklahoma",54,"Male",18
"Florida",50,"Male",47
"California",0,"Female",72
"Wisconsin",0,"Female",77
"Florida",45,"Male",55
"Virginia",55,"Male",64
"North Carolina",20,"Female",25
"North Carolina",55,"Male",42
"Minnesota",55,"Female",75
"Louisiana",40,"Male",34
"Utah",65,"Male",39
"Wisconsin",55,"Female",85
"South Carolina",50,"Male",51
"Colorado",45,"Male",27
"Minnesota",55,"Male",2
"South Carolina",40,"Male",8
"Florida",0,"Female",36
"California",73,"Male",19
"Florida",60,"Male",22
"North Carolina",20,"Female",23
"Colorado",10,"Female",44
"Texas",15,"Female",16
"California",96,"Male",15
"Florida",10,"Male",26
"Arizona",60,"Male",49
"Pennsylvania",45,"Male",50
"Florida",5,"Female",12
"Florida",40,"Male",20
"California",0,"Male",85
"Wisconsin",60,"Male",46
"Georgia",0,"Female",55
"Missouri",61,"Female",27
"New York",52,"Male",52
"Florida",70,"Male",35
"South Carolina",65,"Male",16
"Pennsylvania",0,"Male",51
"New York",20,"Female",88
"Kentucky",33,"Male",35
"Virginia",50,"Male",53
"Virginia",45,"Male",16
"New York",62,"Female",59
"New York",0,"Male",17
"South Carolina",55,"Male",51
"Florida",68,"Male",62
"Missouri",64,"Male",30
"Georgia",0,"Female",60
"Florida",30,"Male",39
"Florida",30,"Female",5
"Florida",50,"Female",23
"California",0,"Female",16
"Minnesota",50,"Female",8
"Louisiana",84,"Male",22
"Florida",55,"Female",21
"California",50,"Female",19
"Louisiana",70,"Male",22
"Texas",0,"Male",39
"Florida",25,"Male",37
"Florida",15,"Male",41
"South Carolina",39,"Male",15
"Florida",55,"Male",27
"California",43,"Female",21
"Maryland",0,"Male",64
"Ohio",30,"Male",23
"California",30,"Male",7
"Pennsylvania",70,"Male",26
"Florida",30,"Female",77
"Arizona",45,"Female",34
"Pennsylvania",55,"Male",50
"Ohio",45,"Male",21
"California",45,"Female",64
"California",45,"Male",35
"Florida",20,"Male",37
"South Carolina",5,"Female",22
"Texas",68,"Male",35
"Florida",0,"Male",25
"Arizona",40,"Female",73
"California",70,"Male",32
"Connecticut",20,"Male",34
"Ohio",35,"Male",83
"Florida",45,"Female",51
"Missouri",0,"Male",70
"Ohio",35,"Male",24
"Arizona",0,"Male",31
"Virginia",60,"Male",19
"Utah",80,"Male",17
"California",0,"Male",47
"South Carolina",75,"Male",28
"Florida",60,"Female",43
"Virginia",25,"Male",58
"South Carolina",45,"Female",14
"Florida",10,"Male",56
"Florida",65,"Female",9
"Pennsylvania",90,"Male",18
"California",65,"Male",52
"Illinois",22,"Male",18
"Minnesota",60,"Male",64
"Minnesota",49,"Female",42
"Pennsylvania",55,"Male",39
"Missouri",52,"Male",65
"California",0,"Male",67
"Alabama",95,"Male",18
"Texas",80,"Female",16
"Virginia",50,"Male",21
"North Carolina",35,"Male",40
"Arizona",10,"Male",24
"Missouri",50,"Male",30
"Kentucky",78,"Male",42
"Florida",60,"Male",38
"Florida",55,"Female",25
"Georgia",0,"Male",43
"South Carolina",25,"Female",53
"New York",0,"Female",28
"Florida",55,"Male",15
"Florida",35,"Male",44
"Wisconsin",25,"Female",10
"North Carolina",55,"Female",49
"North Carolina",74,"Male",28
"Missouri",66,"Female",19
"Virginia",5,"Male",20
"Florida",55,"Male",78
"Ohio",48,"Male",63
"Wisconsin",0,"Male",26
"South Carolina",10,"Female",65
"Florida",0,"Male",66
"Florida",15,"Female",72
"Texas",64,"Male",24
"Oklahoma",0,"Male",44
"Florida",70,"Male",29
"Florida",76,"Female",24
"Wisconsin",80,"Male",25
"Kentucky",38,"Female",19
"Ohio",0,"Male",55
"North Carolina",40,"Male",23
"Florida",20,"Male",53
"Florida",50,"Male",25
"California",70,"Male",21
"Florida",55,"Female",57
"Arizona",75,"Female",2
"North Carolina",50,"Female",20
"South Carolina",0,"Male",63
"North Carolina",65,"Male",22
"Florida",45,"Male",52
"South Carolina",86,"Male",63
"Illinois",0,"Male",27
"California",50,"Male",50
"North Carolina",45,"Male",46
"Missouri",70,"Male",24
"North Carolina",93,"Female",17
"Ohio",100,"Female",31
"Texas",0,"Female",54
"Pennsylvania",65,"Male",24
"Texas",0,"Male",45
"Florida",25,"Female",19
"South Carolina",20,"Male",50
"Pennsylvania",40,"Male",63
"Florida",0,"Female",53
"Louisiana",0,"Female",66
"Texas",0,"Male",45
"Texas",0,"Female",36
"California",71,"Female",38
"Ohio",35,"Male",56
"Pennsylvania",0,"Male",65
"California",70,"Male",27
"Arizona",0,"Male",52
"Pennsylvania",45,"Male",30
"Colorado",0,"Male",30
"Virginia",119,"Male",40
"Illinois",50,"Male",21
"Ohio",25,"Female",17
"Florida",60,"Male",37
"New York",70,"Female",71
"California",80,"Female",18
"Florida",5,"Male",39
"South Dakota",63,"Male",26
"California",58,"Male",36
"Wisconsin",65,"Male",23
"North Carolina",70,"Female",20
"South Carolina",30,"Male",54
"Hawaii",0,"Male",63
"Louisiana",98,"Male",58
"Florida",50,"Male",57
"Wisconsin",55,"Female",15
"Arizona",70,"Female",17
"Nevada",46,"Male",79
"Oklahoma",0,"Male",47
"Texas",0,"Male",62
"Florida",35,"Male",41
"South Carolina",40,"Female",73
"North Carolina",0,"Male",31
"New York",0,"Male",63
"South Carolina",70,"Female",26
"North Carolina",45,"Male",89
"California",40,"Male",54
"Ohio",50,"Male",59
"California",65,"Female",50
"Florida",45,"Male",52
"Minnesota",50,"Female",51
"Florida",50,"Female",39
"Ohio",25,"Male",19
"California",38,"Female",43
"Colorado",40,"Male",52
"Louisiana",55,"Male",56
"Missouri",55,"Female",13
"South Carolina",45,"Male",22
"Pennsylvania",45,"Female",25
"California",38,"Male",52
"California",0,"Male",51
"Texas",57,"Male",23
"Kentucky",0,"Female",28
"Florida",0,"Male",58
"Kentucky",53,"Male",3
"Colorado",75,"Female",56
"California",50,"Male",32
"California",60,"Male",68
"Utah",75,"Male",57
"Florida",0,"Male",63
"Illinois",0,"Female",16
"Florida",0,"Female",55
"Florida",45,"Male",19
"Arizona",45,"Male",19
"North Carolina",45,"Male",60
"Florida",70,"Male",46
"Washington",0,"Female",64
"Louisiana",0,"Male",75
"California",20,"Female",29
"Florida",30,"Male",71
"Florida",25,"Male",58
"Florida",0,"Male",19
"Florida",60,"Male",19
"Florida",45,"Male",39
"Texas",96,"Male",27
"Florida",35,"Female",24
"California",30,"Male",30
"Louisiana",0,"Male",17
"North Carolina",75,"Female",70
"North Carolina",0,"Male",51
"South Carolina",25,"Male",27
"Alabama",55,"Female",30
"Pennsylvania",50,"Male",45
"Florida",25,"Female",24
"South Carolina",5,"Male",41
"New Mexico",0,"Male",82
"Virginia",60,"Female",40
"Florida",0,"Male",35
"North Carolina",55,"Male",77
"Georgia",0,"Female",66
"California",40,"Female",51
"Florida",30,"Male",50
"South Carolina",93,"Male",23
"Louisiana",63,"Male",41
"Virginia",55,"Male",21
"Florida",10,"Male",37
"South Carolina",70,"Male",20
"North Carolina",35,"Male",57
"Louisiana",50,"Male",56
"Virginia",70,"Male",19
"Iowa",0,"Male",84
"Florida",90,"Male",22
"Minnesota",15,"Female",50
"South Carolina",10,"Male",37
"California",55,"Male",61
"Alabama",75,"Male",17
"Nevada",80,"Female",48
"North Carolina",0,"Male",53
"California",0,"Male",62
"Louisiana",55,"Male",40
"California",83,"Female",38
"Florida",55,"Male",53
"California",45,"Female",36
"New York",0,"Male",46
"Florida",0,"Male",21
"Florida",20,"Female",24
